designStorm,loadingRatio,depth,probabilityOfFailure,reliability
4.1,0.2,24,0.933333333,0.066666667
4.2,0.2,24,0.933333333,0.066666667
4.3,0.2,24,0.933333333,0.066666667
4.4,0.2,24,0.933333333,0.066666667
4.5,0.2,24,0.933333333,0.066666667
4.6,0.2,24,0.933333333,0.066666667
4.7,0.2,24,0.952380952,0.047619048
4.8,0.2,24,0.952380952,0.047619048
4.9,0.2,24,0.952380952,0.047619048
5,0.2,24,0.952380952,0.047619048
0.1,0.2,30,0,1
0.2,0.2,30,0,1
0.3,0.2,30,0,1
0.4,0.2,30,0,1
0.5,0.2,30,0,1
0.6,0.2,30,0,1
0.7,0.2,30,0,1
0.8,0.2,30,0,1
0.9,0.2,30,0,1
1,0.2,30,0,1
1.1,0.2,30,0,1
1.2,0.2,30,0,1
1.3,0.2,30,0,1
1.4,0.2,30,0.0001,0.9999
1.5,0.2,30,0.0025,0.9975
1.6,0.2,30,0.0116,0.9884
1.7,0.2,30,0.0312,0.9688
1.8,0.2,30,0.067097237,0.932902763
1.9,0.2,30,0.115837696,0.884162304
2,0.2,30,0.181415929,0.818584071
2.1,0.2,30,0.243373494,0.756626506
2.2,0.2,30,0.338010204,0.661989796
2.3,0.2,30,0.403361345,0.596638656
2.4,0.2,30,0.437137331,0.562862669
2.5,0.2,30,0.473214286,0.526785714
2.6,0.2,30,0.527932961,0.472067039
2.7,0.2,30,0.60295082,0.39704918
2.8,0.2,30,0.623966942,0.376033058
2.9,0.2,30,0.665024631,0.33497537
3,0.2,30,0.686486486,0.313513514
3.1,0.2,30,0.719745223,0.280254777
3.2,0.2,30,0.722580645,0.277419355
3.3,0.2,30,0.788990826,0.211009174
3.4,0.2,30,0.810526316,0.189473684
3.5,0.2,30,0.825581395,0.174418605
3.6,0.2,30,0.831325301,0.168674699
3.7,0.2,30,0.906976744,0.093023256
3.8,0.2,30,0.918918919,0.081081081
3.9,0.2,30,0.933333333,0.066666667
4,0.2,30,0.933333333,0.066666667
4.1,0.2,30,0.952380952,0.047619048
4.2,0.2,30,0.952380952,0.047619048
4.3,0.2,30,0.952380952,0.047619048
4.4,0.2,30,0.952380952,0.047619048
4.5,0.2,30,0.952380952,0.047619048
4.6,0.2,30,0.952380952,0.047619048
4.7,0.2,30,0.952380952,0.047619048
4.8,0.2,30,0.952380952,0.047619048
4.9,0.2,30,0.952380952,0.047619048
5,0.2,30,0.952380952,0.047619048
0.1,0.16,12,0,1
0.2,0.16,12,0,1
0.3,0.16,12,0,1
0.4,0.16,12,0,1
0.5,0.16,12,0,1
0.6,0.16,12,0,1
0.7,0.16,12,0.0001,0.9999
0.8,0.16,12,0.0006,0.9994
0.9,0.16,12,0.0059,0.9941
1,0.16,12,0.0215,0.9785
1.1,0.16,12,0.057875345,0.942124655
1.2,0.16,12,0.129211403,0.870788597
1.3,0.16,12,0.170431211,0.829568789
1.4,0.16,12,0.285572139,0.714427861
1.5,0.16,12,0.373333333,0.626666667
1.6,0.16,12,0.437743191,0.562256809
1.7,0.16,12,0.518716578,0.481283423
1.8,0.16,12,0.628691983,0.371308017
1.9,0.16,12,0.63362069,0.36637931
2,0.16,12,0.682795699,0.317204301
2.1,0.16,12,0.742857143,0.257142857
2.2,0.16,12,0.780701754,0.219298246
2.3,0.16,12,0.815217391,0.184782609
2.4,0.16,12,0.835443038,0.164556962
2.5,0.16,12,0.868852459,0.131147541
2.6,0.16,12,0.886792453,0.113207547
2.7,0.16,12,0.906976744,0.093023256
2.8,0.16,12,0.918918919,0.081081081
2.9,0.16,12,0.933333333,0.066666667
3,0.16,12,0.952380952,0.047619048
3.1,0.16,12,0.952380952,0.047619048
3.2,0.16,12,0.952380952,0.047619048
3.3,0.16,12,0.952380952,0.047619048
3.4,0.16,12,0.952380952,0.047619048
3.5,0.16,12,0.952380952,0.047619048
3.6,0.16,12,0.952380952,0.047619048
3.7,0.16,12,0.952380952,0.047619048
3.8,0.16,12,0.952380952,0.047619048
3.9,0.16,12,0.952380952,0.047619048
4,0.16,12,0.952380952,0.047619048
4.1,0.16,12,0.952380952,0.047619048
4.2,0.16,12,0.952380952,0.047619048
4.3,0.16,12,0.961538462,0.038461538
4.4,0.16,12,0.961538462,0.038461538
4.5,0.16,12,0.961538462,0.038461538
4.6,0.16,12,0.961538462,0.038461538
4.7,0.16,12,0.975,0.025
4.8,0.16,12,0.975,0.025
4.9,0.16,12,0.975,0.025
5,0.16,12,0.975,0.025
0.1,0.16,18,0,1
0.2,0.16,18,0,1
0.3,0.16,18,0,1
0.4,0.16,18,0,1
0.5,0.16,18,0,1
0.6,0.16,18,0,1
0.7,0.16,18,0,1
0.8,0.16,18,0,1
0.9,0.16,18,0.001,0.999
1,0.16,18,0.005,0.995
1.1,0.16,18,0.0203,0.9797
1.2,0.16,18,0.054848046,0.945151954
1.3,0.16,18,0.102418208,0.897581792
1.4,0.16,18,0.171045853,0.828954147
1.5,0.16,18,0.258710801,0.741289199
1.6,0.16,18,0.350877193,0.649122807
1.7,0.16,18,0.387658228,0.612341772
1.8,0.16,18,0.520325203,0.479674797
1.9,0.16,18,0.560509554,0.439490446
2,0.16,18,0.642857143,0.357142857
2.1,0.16,18,0.65258216,0.34741784
2.2,0.16,18,0.694915254,0.305084746
2.3,0.16,18,0.768595041,0.231404959
2.4,0.16,18,0.780701754,0.219298246
2.5,0.16,18,0.810526316,0.189473684
2.6,0.16,18,0.831325301,0.168674699
2.7,0.16,18,0.831325301,0.168674699
2.8,0.16,18,0.886792453,0.113207547
2.9,0.16,18,0.886792453,0.113207547
3,0.16,18,0.886792453,0.113207547
3.1,0.16,18,0.906976744,0.093023256
3.2,0.16,18,0.918918919,0.081081081
3.3,0.16,18,0.933333333,0.066666667
3.4,0.16,18,0.952380952,0.047619048
3.5,0.16,18,0.956521739,0.043478261
3.6,0.16,18,0.974358974,0.025641026
3.7,0.16,18,0.974358974,0.025641026
3.8,0.16,18,0.974358974,0.025641026
3.9,0.16,18,0.974358974,0.025641026
4,0.16,18,0.974358974,0.025641026
4.1,0.16,18,0.974358974,0.025641026
4.2,0.16,18,0.974358974,0.025641026
4.3,0.16,18,0.974358974,0.025641026
4.4,0.16,18,0.974358974,0.025641026
4.5,0.16,18,0.974358974,0.025641026
4.6,0.16,18,0.974358974,0.025641026
4.7,0.16,18,0.974358974,0.025641026
4.8,0.16,18,0.974358974,0.025641026
4.9,0.16,18,0.974358974,0.025641026
5,0.16,18,0.974358974,0.025641026
0.1,0.16,24,0,1
0.2,0.16,24,0,1
0.3,0.16,24,0,1
0.4,0.16,24,0,1
0.5,0.16,24,0,1
0.6,0.16,24,0,1
0.7,0.16,24,0,1
0.8,0.16,24,0,1
0.9,0.16,24,0.0001,0.9999
1,0.16,24,0.0009,0.9991
