designStorm,loadingRatio,depth,probabilityOfFailure,reliability
0.1,0.2,12,0,1
0.2,0.2,12,0,1
0.3,0.2,12,0,1
0.4,0.2,12,0,1
0.5,0.2,12,0,1
0.6,0.2,12,0,1
0.7,0.2,12,0.0001,0.9999
0.8,0.2,12,0.0006,0.9994
0.9,0.2,12,0.0019,0.9981
1,0.2,12,0.0049,0.9951
1.1,0.2,12,0.0155,0.9845
1.2,0.2,12,0.040062598,0.959937402
1.3,0.2,12,0.077228136,0.922771864
1.4,0.2,12,0.136381553,0.863618447
1.5,0.2,12,0.210386152,0.789613848
1.6,0.2,12,0.306843267,0.693156733
1.7,0.2,12,0.40862069,0.59137931
1.8,0.2,12,0.507731959,0.492268041
1.9,0.2,12,0.543026706,0.456973294
2,0.2,12,0.673469388,0.326530612
2.1,0.2,12,0.682795699,0.317204301
2.2,0.2,12,0.761904762,0.238095238
2.3,0.2,12,0.780701754,0.219298246
2.4,0.2,12,0.83,0.17
2.5,0.2,12,0.886792453,0.113207547
2.6,0.2,12,0.906976744,0.093023256
2.7,0.2,12,0.918918919,0.081081081
2.8,0.2,12,0.928918919,0.071081081
2.9,0.2,12,0.938918919,0.061081081
3,0.2,12,0.952380952,0.047619048
3.1,0.2,12,0.952380952,0.047619048
3.2,0.2,12,0.952380952,0.047619048
3.3,0.2,12,0.954545455,0.045454545
3.4,0.2,12,0.954545455,0.045454545
3.5,0.2,12,0.96,0.04
3.6,0.2,12,0.965,0.035
3.7,0.2,12,0.971428571,0.028571429
3.8,0.2,12,0.971428571,0.028571429
3.9,0.2,12,0.971428571,0.028571429
4,0.2,12,0.971428571,0.028571429
4.1,0.2,12,0.971428571,0.028571429
4.2,0.2,12,0.971428571,0.028571429
4.3,0.2,12,0.971428571,0.028571429
4.4,0.2,12,0.971428571,0.028571429
4.5,0.2,12,0.971428571,0.028571429
4.6,0.2,12,0.971428571,0.028571429
4.7,0.2,12,0.971428571,0.028571429
4.8,0.2,12,0.971428571,0.028571429
4.9,0.2,12,0.971428571,0.028571429
5,0.2,12,0.976744186,0.023255814
0.1,0.2,18,0,1
0.2,0.2,18,0,1
0.3,0.2,18,0,1
0.4,0.2,18,0,1
0.5,0.2,18,0,1
0.6,0.2,18,0,1
0.7,0.2,18,0,1
0.8,0.2,18,0,1
0.9,0.2,18,0.0001,0.9999
1,0.2,18,0.0009,0.9991
1.1,0.2,18,0.0025,0.9975
1.2,0.2,18,0.0066,0.9934
1.3,0.2,18,0.0169,0.9831
1.4,0.2,18,0.040903281,0.959096719
1.5,0.2,18,0.077667859,0.922332141
1.6,0.2,18,0.132695985,0.867304015
1.7,0.2,18,0.205692109,0.794307891
1.8,0.2,18,0.30237581,0.69762419
1.9,0.2,18,0.391653291,0.60834671
2,0.2,18,0.444223108,0.555776892
2.1,0.2,18,0.594890511,0.405109489
2.2,0.2,18,0.65,0.35
2.3,0.2,18,0.711656442,0.288343558
2.4,0.2,18,0.73,0.27
2.5,0.2,18,0.766129032,0.233870968
2.6,0.2,18,0.815217391,0.184782609
2.7,0.2,18,0.825217391,0.174782609
2.8,0.2,18,0.855217391,0.144782609
2.9,0.2,18,0.885217391,0.114782609
3,0.2,18,0.918918919,0.081081081
3.1,0.2,18,0.918918919,0.081081081
3.2,0.2,18,0.928918919,0.071081081
3.3,0.2,18,0.938918919,0.061081081
3.4,0.2,18,0.948918919,0.051081081
3.5,0.2,18,0.952380952,0.047619048
3.6,0.2,18,0.952380952,0.047619048
3.7,0.2,18,0.952380952,0.047619048
3.8,0.2,18,0.952380952,0.047619048
3.9,0.2,18,0.96875,0.03125
4,0.2,18,0.96875,0.03125
4.1,0.2,18,0.96875,0.03125
4.2,0.2,18,0.96875,0.03125
4.3,0.2,18,0.974358974,0.025641026
4.4,0.2,18,0.974358974,0.025641026
4.5,0.2,18,0.974358974,0.025641026
4.6,0.2,18,0.974358974,0.025641026
4.7,0.2,18,0.974358974,0.025641026
4.8,0.2,18,0.974358974,0.025641026
4.9,0.2,18,0.974358974,0.025641026
5,0.2,18,0.974358974,0.025641026
0.1,0.2,24,0,1
0.2,0.2,24,0,1
0.3,0.2,24,0,1
0.4,0.2,24,0,1
0.5,0.2,24,0,1
0.6,0.2,24,0,1
0.7,0.2,24,0,1
0.8,0.2,24,0,1
0.9,0.2,24,0,1
1,0.2,24,0.0001,0.9999
1.1,0.2,24,0,1
1.2,0.2,24,0.0008,0.9992
