designStorm,loadingRatio,depth,probabilityOfFailure,reliability
0.1,0.2,12,0,1
0.2,0.2,12,0,1
0.3,0.2,12,0,1
0.4,0.2,12,0,1
0.5,0.2,12,0,1
0.6,0.2,12,0,1
0.7,0.2,12,0,1
0.8,0.2,12,0.0003,0.9997
0.9,0.2,12,0.0004,0.9996
1,0.2,12,0.0022,0.9978
1.1,0.2,12,0.0089,0.9911
1.2,0.2,12,0.0168,0.9832
1.3,0.2,12,0.040716785,0.959283215
1.4,0.2,12,0.079218549,0.920781451
1.5,0.2,12,0.12289916,0.87710084
1.6,0.2,12,0.206762029,0.793237971
1.7,0.2,12,0.31712963,0.68287037
1.8,0.2,12,0.397372742,0.602627258
1.9,0.2,12,0.497524752,0.502475248
2,0.2,12,0.534285714,0.465714286
2.1,0.2,12,0.666666667,0.333333333
2.2,0.2,12,0.686486486,0.313513514
2.3,0.2,12,0.810526316,0.189473684
2.4,0.2,12,0.840526316,0.159473684
2.5,0.2,12,0.870526316,0.129473684
2.6,0.2,12,0.918918919,0.081081081
2.7,0.2,12,0.938918919,0.061081081
2.8,0.2,12,0.952380952,0.047619048
2.9,0.2,12,0.952380952,0.047619048
3,0.2,12,0.961538462,0.038461538
3.1,0.2,12,0.962962963,0.037037037
3.2,0.2,12,0.977272727,0.022727273
3.3,0.2,12,0.977272727,0.022727273
3.4,0.2,12,0.977272727,0.022727273
3.5,0.2,12,0.977272727,0.022727273
3.6,0.2,12,0.977272727,0.022727273
3.7,0.2,12,0.977272727,0.022727273
3.8,0.2,12,0.977272727,0.022727273
3.9,0.2,12,0.977272727,0.022727273
4,0.2,12,0.977272727,0.022727273
4.1,0.2,12,0.977272727,0.022727273
4.2,0.2,12,0.977272727,0.022727273
4.3,0.2,12,0.977272727,0.022727273
4.4,0.2,12,0.977272727,0.022727273
4.5,0.2,12,0.977272727,0.022727273
4.6,0.2,12,0.977272727,0.022727273
4.7,0.2,12,0.977272727,0.022727273
4.8,0.2,12,0.977272727,0.022727273
4.9,0.2,12,0.977272727,0.022727273
5,0.2,12,0.977272727,0.022727273
0.1,0.2,18,0,1
0.2,0.2,18,0,1
0.3,0.2,18,0,1
0.4,0.2,18,0,1
0.5,0.2,18,0,1
0.6,0.2,18,0,1
0.7,0.2,18,0,1
0.8,0.2,18,0,1
0.9,0.2,18,0.0001,0.9999
1,0.2,18,0.0001,0.9999
1.1,0.2,18,0.0009,0.9991
1.2,0.2,18,0.0019,0.9981
1.3,0.2,18,0.0062,0.9938
1.4,0.2,18,0.0152,0.9848
1.5,0.2,18,0.038662382,0.961337618
1.6,0.2,18,0.069771792,0.930228208
1.7,0.2,18,0.123809524,0.876190476
1.8,0.2,18,0.17219917,0.82780083
1.9,0.2,18,0.246530612,0.753469388
2,0.2,18,0.374068554,0.625931446
2.1,0.2,18,0.485915493,0.514084507
2.2,0.2,18,0.523287671,0.476712329
2.3,0.2,18,0.594890511,0.405109489
2.4,0.2,18,0.706586826,0.293413174
2.5,0.2,18,0.736586826,0.263413174
2.6,0.2,18,0.766586826,0.233413174
2.7,0.2,18,0.796586826,0.203413174
2.8,0.2,18,0.831325301,0.168674699
2.9,0.2,18,0.861538462,0.138461539
3,0.2,18,0.877192982,0.122807018
3.1,0.2,18,0.886792453,0.113207547
3.2,0.2,18,0.906976744,0.093023256
3.3,0.2,18,0.933333333,0.066666667
3.4,0.2,18,0.933333333,0.066666667
3.5,0.2,18,0.933333333,0.066666667
3.6,0.2,18,0.952380952,0.047619048
3.7,0.2,18,0.952380952,0.047619048
3.8,0.2,18,0.952380952,0.047619048
3.9,0.2,18,0.952380952,0.047619048
4,0.2,18,0.967741935,0.032258065
4.1,0.2,18,0.970588235,0.029411765
4.2,0.2,18,0.970588235,0.029411765
4.3,0.2,18,0.970588235,0.029411765
4.4,0.2,18,0.970588235,0.029411765
4.5,0.2,18,0.97826087,0.02173913
4.6,0.2,18,0.97826087,0.02173913
4.7,0.2,18,0.97826087,0.02173913
4.8,0.2,18,0.979591837,0.020408163
4.9,0.2,18,0.979591837,0.020408163
5,0.2,18,0.979591837,0.020408163
0.1,0.2,24,0,1
0.2,0.2,24,0,1
0.3,0.2,24,0,1
0.4,0.2,24,0,1
0.5,0.2,24,0,1
0.6,0.2,24,0,1
0.7,0.2,24,0,1
0.8,0.2,24,0,1
0.9,0.2,24,0,1
1,0.2,24,0,1
1.1,0.2,24,0,1
1.2,0.2,24,0.0001,0.9999
