designStorm,loadingRatio,depth,probabilityOfFailure,reliability
0.1,0,6,0,1.000000000
0.2,0,6,0,1.000000000
0.3,0,6,0,1.000000000
0.4,0,6,0,1.000000000
0.5,0,6,0,1.000000000
0.6,0,6,0,1.000000000
0.7,0,6,0.0001,1.000000000
0.8,0,6,0,1.000000000
0.9,0,6,0.0003,1.000000000
1,0,6,0.0009,0.999000000
1.1,0,6,0.0017,0.998000000
1.2,0,6,0.0048,0.995000000
1.3,0,6,0.0097,0.990000000
1.4,0,6,0.0164,0.984000000
1.5,0,6,0.0282,0.972000000
1.6,0,6,0.043896848,0.956000000
1.7,0,6,0.064344544,0.936000000
1.8,0,6,0.087550971,0.912000000
1.9,0,6,0.112949411,0.887000000
2,0,6,0.142620232,0.857000000
2.1,0,6,0.174302264,0.826000000
2.2,0,6,0.203833866,0.796000000
2.3,0,6,0.25848564,0.742000000
2.4,0,6,0.271627907,0.728000000
2.5,0,6,0.33006135,0.670000000
2.6,0,6,0.375375375,0.625000000
2.7,0,6,0.396721311,0.603000000
2.8,0,6,0.478359909,0.522000000
2.9,0,6,0.497524752,0.502000000
3,0,6,0.53,0.470000000
3.1,0,6,0.544642857,0.455000000
3.2,0,6,0.57,0.430000000
3.3,0,6,0.6,0.400000000
3.4,0,6,0.651162791,0.349000000
3.5,0,6,0.686486486,0.314000000
3.6,0,6,0.699421965,0.301000000
3.7,0,6,0.732876712,0.267000000
3.8,0,6,0.75,0.250000000
3.9,0,6,0.775862069,0.224000000
4,0,6,0.79,0.210000000
4.1,0,6,0.81,0.190000000
4.2,0,6,0.835443038,0.165000000
4.3,0,6,0.849315068,0.151000000
4.4,0,6,0.855072464,0.145000000
4.5,0,6,0.868852459,0.131000000
4.6,0,6,0.877192982,0.123000000
4.7,0,6,0.89,0.110000000
4.8,0,6,0.918918919,0.081100000
4.9,0,6,0.952380952,0.047600000
5,0,6,0.97,0.030000000
0.1,0,12,0,1.000000000
0.2,0,12,0,1.000000000
0.3,0,12,0,1.000000000
0.4,0,12,0,1.000000000
0.5,0,12,0,1.000000000
0.6,0,12,0,1.000000000
0.7,0,12,0,1.000000000
0.8,0,12,0,1.000000000
0.9,0,12,0,1.000000000
1,0,12,0,1.000000000
1.1,0,12,0,1.000000000
1.2,0,12,0,1.000000000
1.3,0,12,0,1.000000000
1.4,0,12,0,1.000000000
1.5,0,12,0,1.000000000
1.6,0,12,0,1.000000000
1.7,0,12,0,1.000000000
1.8,0,12,0,1.000000000
1.9,0,12,0,1.000000000
2,0,12,0,1.000000000
2.1,0,12,0,1.000000000
2.2,0,12,0.0001,1.000000000
2.3,0,12,0.0002,1.000000000
2.4,0,12,0.0001,1.000000000
